keyword,label,count,percentage_in_label
transfer,negatif,924,20.0651
error,negatif,598,12.9859
login,negatif,451,9.7937
gagal,negatif,413,8.9685
transaksi,negatif,361,7.8393
saldo,negatif,352,7.6439
otp,negatif,351,7.6221
rekening,negatif,292,6.3409
verifikasi,negatif,233,5.0597
kode,negatif,229,4.9729
qris,negatif,137,2.975
hilang,negatif,125,2.7144
akun,negatif,97,2.1064
password,negatif,88,1.911
aman,negatif,29,0.6298
pin,negatif,28,0.608
blokir,negatif,27,0.5863
penipuan,negatif,4,0.0869
fraud,negatif,0,0.0
bobol,negatif,0,0.0
otp,netral,99,8.6387
transfer,netral,62,5.4101
kode,netral,58,5.0611
login,netral,50,4.363
rekening,netral,44,3.8394
transaksi,netral,31,2.7051
verifikasi,netral,22,1.9197
saldo,netral,22,1.9197
gagal,netral,14,1.2216
akun,netral,11,0.9599
qris,netral,11,0.9599
password,netral,7,0.6108
error,netral,7,0.6108
blokir,netral,6,0.5236
aman,netral,4,0.349
hilang,netral,3,0.2618
pin,netral,1,0.0873
penipuan,netral,0,0.0
fraud,netral,0,0.0
bobol,netral,0,0.0
transaksi,positif,1489,17.682
transfer,positif,552,6.555
rekening,positif,402,4.7738
aman,positif,357,4.2394
qris,positif,345,4.0969
saldo,positif,192,2.28
otp,positif,157,1.8644
login,positif,108,1.2825
kode,positif,108,1.2825
error,positif,96,1.14
akun,positif,91,1.0806
verifikasi,positif,87,1.0331
gagal,positif,48,0.57
password,positif,35,0.4156
hilang,positif,27,0.3206
blokir,positif,14,0.1663
pin,positif,13,0.1544
penipuan,positif,3,0.0356
fraud,positif,0,0.0
bobol,positif,0,0.0
